GraphName,Version,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold,DataType
roadNet-CA,Modified Parallel,18,9,201,2980,0.991769,1.07762,1.03884,2.11646,1e-06,4
web-Google,Modified Parallel,18,6,103,3169,0.979349,1.82791,0.244897,2.0728,1e-06,4
com-orkut,Modified Parallel,18,5,101,31,0.660458,30.2596,14.1884,44.448,1e-06,4
soc-LiveJournal1,Modified Parallel,18,6,126,3091,0.748512,42.5347,5.20961,47.7443,1e-06,4
wiki-Talk,Modified Parallel,18,5,101,2641,0.558494,25.7368,0.818367,26.5552,1e-06,4
web-Stanford,Modified Parallel,18,9,178,726,0.936474,5.27248,0.109618,5.38209,1e-06,4
cage15,Vectorized,18,7,129,48,0.888691,4.05578,1.67069,5.72646,1e-06,4
uk2002,Vectorized,18,8,176,4017,0.989269,28.1877,3.30237,31.4901,1e-06,4
333SP,Vectorized,18,20,476,184,0.985523,2.70101,1.4114,4.11241,1e-06,4
AS365,Vectorized,18,8,176,174,0.981405,2.78111,1.32815,4.10926,1e-06,4
eu-2005,Vectorized,18,6,104,153,0.938069,3.16839,0.221935,3.39032,1e-06,4
in-2004,Vectorized,18,7,128,802,0.979406,1.36176,0.295768,1.65753,1e-06,4
M6,Vectorized,18,9,178,161,0.980663,2.51484,1.19985,3.71469,1e-06,4
NLR,Vectorized,18,9,178,168,0.981596,3.07277,1.49497,4.56774,1e-06,4
road_usa,Vectorized,18,11,251,1419,0.997934,13.6892,12.1237,25.813,1e-06,4
af_shell10,Vectorized,18,16,376,63,0.958152,1.90384,0.812174,2.71601,1e-06,4
cnr-2000,Vectorized,18,6,126,185,0.912108,0.623761,0.0664186,0.69018,1e-06,4
G_n_pin_pout,Vectorized,18,7,128,61,0.284305,0.154554,0.147765,0.302319,1e-06,4
NACA0015,Vectorized,18,8,176,108,0.972613,0.620324,0.340122,0.960447,1e-06,4
road_central,Vectorized,18,11,251,1037,0.9972,10.0608,7.834,17.8948,1e-06,4
smallworld,Vectorized,18,6,126,211,0.792557,0.0735669,0.0659137,0.139481,1e-06,4
Amazon0505,Vectorized,18,6,104,160,0.888077,0.526531,0.152493,0.679024,1e-06,4
as-skitter,Vectorized,18,6,105,968,0.838794,9.1602,0.459403,9.61961,1e-06,4
ca-HepPh,Vectorized,18,5,101,314,0.660877,0.0264771,0.0129929,0.03947,1e-06,4
ca-HepTh,Vectorized,18,5,101,470,0.760174,0.00816369,0.00515389,0.0133176,1e-06,4
cit-Patents,Vectorized,18,6,126,3679,0.800677,8.21426,1.7529,9.96716,1e-06,4
com-lj,Vectorized,18,6,126,1782,0.749896,24.018,2.43665,26.4546,1e-06,4
com-youtube,Vectorized,18,8,176,5212,0.72033,12.7939,0.487483,13.2814,1e-06,4
roadNet-CA,Vectorized,18,9,201,2980,0.991769,1.224,1.04447,2.26848,1e-06,4
web-Google,Vectorized,18,6,103,3169,0.979349,1.3628,0.247413,1.61022,1e-06,4
com-orkut,Vectorized,18,5,78,35,0.660471,16.0992,13.9665,30.0657,1e-06,4
soc-LiveJournal1,Vectorized,18,6,126,3091,0.748512,34.3211,5.20768,39.5288,1e-06,4
wiki-Talk,Vectorized,18,5,101,2641,0.558494,19.4431,0.795799,20.2389,1e-06,4
web-Stanford,Vectorized,18,9,178,726,0.936474,3.40556,0.108078,3.51364,1e-06,4
